match_date,event,round,player_a,player_b,a_points,b_points,point_diff,winner
2024-05-28,Singapore Open 2024,Quarterfinal,Shi Yu Qi,Naraoka Kodai,94915.0,83597.0,11318.0,1
2024-05-28,Singapore Open 2024,Round of 16,Viktor Axelsen,Lin Chun Yi,98170.0,60261.0,37909.0,1
2024-05-28,Singapore Open 2024,Round of 16,Anthony Sinisuka Ginting,Leong Jun Hao,79585.0,38518.0,41067.0,0
2024-05-28,Singapore Open 2024,Round of 16,Anders Antonsen,Loh Kean Yew,88391.0,64183.0,24208.0,0
2024-05-28,Singapore Open 2024,Round of 16,Li Shifeng,Lee Cheuk Yiu,83456.0,58219.0,25237.0,1
2024-05-28,Singapore Open 2024,Round of 16,Prannoy H. S.,Kenta Nishimoto,75982.0,64982.0,11000.0,0
2024-05-28,Singapore Open 2024,Round of 16,Chou Tien Chen,Brian Yang,63467.0,51173.0,12294.0,1
2024-05-28,Singapore Open 2024,Round of 16,Naraoka Kodai,Chico Aura Dwi Wardoyo,83597.0,44235.0,39362.0,1
2024-05-28,Singapore Open 2024,Round of 16,Shi Yu Qi,Weng Hong Yang,94915.0,59950.0,34965.0,1
2024-05-28,Singapore Open 2024,Round of 32,Viktor Axelsen,Lakshya Sen,98170.0,62318.0,35852.0,1
2024-05-28,Singapore Open 2024,Round of 32,Lin Chun Yi,Ng Ka Long Angus,60261.0,52856.0,7405.0,1
2024-05-28,Singapore Open 2024,Round of 32,Anthony Sinisuka Ginting,Lee Zii Jia,79585.0,73736.0,5849.0,1
2024-05-28,Singapore Open 2024,Round of 32,Kanta Tsuneyama,Leong Jun Hao,45840.0,38518.0,7322.0,0
2024-05-28,Singapore Open 2024,Round of 32,Anders Antonsen,Rasmus Gemke,88391.0,49134.0,39257.0,1
2024-05-28,Singapore Open 2024,Round of 32,Loh Kean Yew,Lu Guang Zu,64183.0,56691.0,7492.0,1
2024-05-28,Singapore Open 2024,Round of 32,Li Shifeng,Lei Lan Xi,83456.0,41526.0,41930.0,1
2024-05-28,Singapore Open 2024,Round of 32,Lee Cheuk Yiu,Priyanshu Rajawat,58219.0,41810.0,16409.0,1
2024-05-28,Singapore Open 2024,Round of 32,Kenta Nishimoto,Su Li Yang,64982.0,44480.0,20502.0,1
2024-05-28,Singapore Open 2024,Round of 32,Prannoy H. S.,Julien Carraggi,75982.0,35947.0,40035.0,1
2024-05-28,Singapore Open 2024,Round of 32,Christo Popov,Brian Yang,54285.0,51173.0,3112.0,0
2024-05-28,Singapore Open 2024,Round of 32,Jonatan Christie,Chou Tien Chen,91727.0,63467.0,28260.0,0
2024-05-28,Singapore Open 2024,Round of 32,Toma Junior Popov,Chico Aura Dwi Wardoyo,53355.0,44235.0,9120.0,0
2024-05-28,Singapore Open 2024,Round of 32,Naraoka Kodai,Kidambi Srikanth,83597.0,49243.0,34354.0,1
2024-05-28,Singapore Open 2024,Round of 32,Weng Hong Yang,Wang Tzu Wei,59950.0,53883.0,6067.0,1
2024-05-28,Singapore Open 2024,Round of 32,Shi Yu Qi,Magnus Johannessen,94915.0,39910.0,55005.0,1
2024-06-04,Indonesia Open 2024,Final,Shi Yu Qi,Anders Antonsen,94915.0,88391.0,6524.0,1
2024-06-04,Indonesia Open 2024,Semifinal,Shi Yu Qi,Li Shifeng,94915.0,83456.0,11459.0,1
2024-06-04,Indonesia Open 2024,Semifinal,Anders Antonsen,Kunlavut Vitidsarn,88391.0,76808.0,11583.0,1
2024-06-04,Indonesia Open 2024,Quarterfinal,Kunlavut Vitidsarn,Lee Zii Jia,76808.0,75486.0,1322.0,1
2024-06-04,Indonesia Open 2024,Quarterfinal,Anders Antonsen,Lakshya Sen,88391.0,61718.0,26673.0,1
2024-06-04,Indonesia Open 2024,Quarterfinal,Li Shifeng,Leong Jun Hao,83456.0,39898.0,43558.0,1
2024-06-04,Indonesia Open 2024,Quarterfinal,Shi Yu Qi,Toma Junior Popov,94915.0,53355.0,41560.0,1
2024-06-04,Indonesia Open 2024,Round of 16,Anders Antonsen,Kantaphon Wangcharoen,88391.0,33330.0,55061.0,1
2024-06-04,Indonesia Open 2024,Round of 16,Kenta Nishimoto,Lakshya Sen,64742.0,61718.0,3024.0,0
2024-06-04,Indonesia Open 2024,Round of 16,Kunlavut Vitidsarn,Priyanshu Rajawat,76808.0,41810.0,34998.0,1
